food_name,category,serving_size_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg
apple,fruit,100,52,0.3,14,0.2,2.4,10.4,1
banana,fruit,100,89,1.1,23,0.3,2.6,12.2,1
orange,fruit,100,47,0.9,12,0.1,2.4,9.4,0
grapes,fruit,100,69,0.7,18,0.2,0.9,15.5,2
strawberries,fruit,100,33,0.7,8,0.3,2.0,4.9,1
blueberries,fruit,100,57,0.7,14,0.3,2.4,9.9,1
watermelon,fruit,100,30,0.6,8,0.2,0.4,6.2,1
pineapple,fruit,100,50,0.5,13,0.1,1.4,9.9,2
mango,fruit,100,60,0.8,15,0.4,1.6,13.7,1
kiwi,fruit,100,61,1.1,15,0.5,3.0,9.0,3
pear,fruit,100,57,0.4,15,0.1,3.1,9.8,1
peach,fruit,100,39,0.9,10,0.3,1.5,8.4,0
plum,fruit,100,46,0.7,11,0.3,1.4,9.9,0
apricot,fruit,100,48,1.4,11,0.4,2.0,9.2,1
cherries,fruit,100,63,1.1,16,0.2,2.1,12.8,0
blackberries,fruit,100,43,1.4,10,0.5,5.3,4.9,1
raspberries,fruit,100,52,1.2,12,0.7,6.5,4.4,1
cranberries,fruit,100,46,0.4,12,0.1,3.6,4.3,2
figs,fruit,100,74,0.8,19,0.3,2.9,16.3,1
dates,fruit,100,282,2.5,75,0.4,8.0,63.4,2
papaya,fruit,100,43,0.5,11,0.3,1.7,7.8,8
lychee,fruit,100,66,0.8,17,0.4,1.3,15.2,1
passion_fruit,fruit,100,97,2.2,23,0.7,10.4,11
pomegranate,fruit,100,83,1.7,19,1.2,4.0,13.7,3
avocado,fruit,100,160,2.0,9,14.7,6.7,0.7,7
lemon,fruit,100,29,1.1,9,0.3,2.8,2.5,2
lime,fruit,100,30,0.7,11,0.2,2.8,1.7,2
cantaloupe,fruit,100,34,0.8,8,0.2,0.9,7.9,16
honeydew,fruit,100,36,0.5,9,0.1,0.8,8.1,18
durian,fruit,100,147,1.5,27,5.3,3.8,19.1,2
jackfruit,fruit,100,95,1.7,24,0.6,1.5,19.1,2
coconut_meat,fruit,100,354,3.3,15,33.5,9.0,6.2,20
fig_bar,snack,100,348,4.5,70,7.7,5.0,36.2,360
apple_pie,dessert,100,237,2.4,34,10.6,1.6,14.0,279
bread_slice,grain,100,265,9.0,49,3.2,2.7,5.0,491
bagel,grain,100,257,9.5,53,1.2,2.3,9.8,481
croissant,grain,100,406,8.0,45,21.0,2.4,8.6,370
donut,dessert,100,452,4.9,51,25.0,2.0,21.4,326
muffin,dessert,100,377,5.6,53,15.5,1.4,32.4,320
waffle,breakfast,100,291,7.8,32,14.0,2.0,8.5,471
pancake,breakfast,100,227,6.0,28,10.0,1.0,6.2,439
oatmeal,grain,100,68,2.4,12,1.4,1.7,0.5,49
cereal,breakfast,100,379,8.0,85,2.0,10.0,24.0,655
granola_bar,snack,100,471,9.8,64,20.0,7.0,27.0,246
protein_bar,snack,100,358,30.0,35,12.0,8.0,23.0,260
chips,snack,100,536,7.0,53,35.0,4.8,0.5,525
pretzels,snack,100,380,9.0,80,3.8,3.4,2.3,1400
popcorn,snack,100,375,10.0,74,4.3,13.0,0.9,300
cookies,dessert,100,502,5.8,64,24.6,2.4,28.8,441
brownie,dessert,100,405,5.0,58,17.0,3.0,42.0,210
cake_slice,dessert,100,346,3.8,57,11.0,1.0,37.0,271
chocolate_bar,dessert,100,546,4.9,61,31.0,7.0,47.9,67
ice_cream,dessert,100,207,3.5,24,11.0,0.7,21.2,80
yogurt,dairy,100,63,5.3,7.0,1.5,0.0,7.0,46
cheddar_cheese,dairy,100,403,24.9,1.3,33.1,0.0,0.5,621
mozzarella,dairy,100,280,28.0,3.1,17.0,0.0,1.0,627
milk,dairy,100,64,3.4,5.0,3.7,0.0,5.0,44
butter,dairy,100,717,0.9,0.1,81.1,0.0,0.1,11
egg,protein,100,143,12.6,1.1,9.5,0.0,1.1,140
chicken_breast,protein,100,165,31.0,0.0,3.6,0.0,0.0,74
steak,protein,100,271,25.0,0.0,19.0,0.0,0.0,58
salmon,protein,100,208,20.0,0.0,13.0,0.0,0.0,59
shrimp,protein,100,99,24.0,0.2,0.3,0.0,0.2,111
pork_chop,protein,100,231,26.0,0.0,14.0,0.0,0.0,62
bacon,protein,100,541,37.0,1.4,42.0,0.0,1.4,1830
sausage,protein,100,301,12.0,2.6,27.0,0.0,1.0,907
ham,protein,100,145,21.0,1.5,6.0,0.0,1.5,1203
turkey_breast,protein,100,135,29.0,0.0,1.0,0.0,0.0,48
tofu,protein,100,76,8.0,1.9,4.8,0.3,0.6,7
tempeh,protein,100,195,20.0,9.0,11.0,4.0,3.0,9
lentils,legume,100,116,9.0,20,0.4,7.9,1.8,2
black_beans,legume,100,132,8.9,24,0.5,8.7,0.3,1
chickpeas,legume,100,164,8.9,27,2.6,7.6,4.8,24
